TPLACE,PLACE
----,Alaravilai
mk]gyj]Jtpis,Ambalathuvilai
mk]gyj]jpl]il,Ampalathittai
Mz;otpshfk],Andivilagam
mHfdh\iy,Azhakanamoolai
mHptu]j]jytpis,Azhivarthalavilai
mHptpshfk;,Azhivilagam
rp.v!;.I. nrfu rig KGnfhL,"C.S.I. DISTRICT CHURCH, Muzhucode"
rhz;og;ghiw,Chandipparai
ruf;fy;tpis,Charakkalvilai
"brf]f"":nruptpis",Chekkancharivilai
brd]id,Chennai
brl]otpshfk],Chettivilagam
fspay],Kaliyal
fs]spf]fhL,Kallikadu
fz]nzu],Kannyar
fiuf]fhL,Karaikadu
fhuhsp,Karali
----,Karungal
fhl]Lkhk]tpis,Kattumam Villai
bfhy]yf]Fotpis,Kollakudi Vilai
nfhl]ilf]ffj]Jtpis,Kottaikakathuvilai
bfhl]lhuj]Jtpis,Kottarathuvilai
Fynrfuk],Kulasekharam
F+u],Kuroor
Fw]wpf]fhl]Ltpis,Kuttikattuvilai
FHptpshfk],Kuzhivilagam
FHptpis,Kuzhivilai
nkny  bj']fk]tpis,Malae Thengamvilai
kztwtpis,Manavaravilai
----,Manjavilai
khj]J}u]nfhzk],Mathoorkonam
khntyptpis,Mavelivilai
nky]g[[[[[wk,Melpuram
kp#d]  t^L,Mission House
\nlhL,Moododu
ehff]nfhL,Nagacode
ehfu]nfhtpy],Nagercoil
'']fr]rp  tpshfk],Nangachivilagam
e^uhspj]jl]L,Neerali Thattu
e^uhspj]jl]Ltpis,Neeralithattuvilai
ghyf]fhtpshfk],Palakkavilagam
gs]spf]nfhzk],Pallikonam
ge]jy]tpis,Pandal Vilai
gz]lhutpis,Pandaravilai
gzpf]fd]tpis,Pannikan Vilai
giwad]  tpis,Parayan Vilai
"bgU""hwtpis",Perugnaravilai
"bghd]d""]rpiw  tpis",Ponnamchirai Vilai
gpwhfy]  thzpaf]Fotpis,Pragal Vaniyakudivilai
jl]lhd]fz]lk],Thattankandam
jpl]lkj]Jtpis,Thittamathu Vilai
jpl]lKj]Jtpis,Thittamuthu Vilai
cj]ju']nfhL,Utharamcode
tlf]Ftpis,Vadakkuvilai
typatpis,Valiyavilai
tz;lhse;njhl;lk;,Vandalamthottam
thzpaf]Fotpis,Vaniyakudivilai
thiHf]Tl]lk],Vazhaikuttam
bts]sh']bfhL,Vellamcode
tpuhyptpis,Viralivilai
xa]  vk]  rp  V,Y M C A
